date,home_team,away_team,tournament,city,country,neutral,home_elo,away_elo,elo_difference,home_rest_days,away_rest_days,rest_days_difference,home_score,away_score,target,result,home_matches_5,home_win_rate_5,home_draw_rate_5,home_loss_rate_5,home_avg_goals_for_5,home_avg_goals_against_5,home_avg_goal_difference_5,home_avg_points_5,home_clean_sheet_rate_5,home_scoring_rate_5,home_matches_10,home_win_rate_10,home_draw_rate_10,home_loss_rate_10,home_avg_goals_for_10,home_avg_goals_against_10,home_avg_goal_difference_10,home_avg_points_10,home_clean_sheet_rate_10,home_scoring_rate_10,away_matches_5,away_win_rate_5,away_draw_rate_5,away_loss_rate_5,away_avg_goals_for_5,away_avg_goals_against_5,away_avg_goal_difference_5,away_avg_points_5,away_clean_sheet_rate_5,away_scoring_rate_5,away_matches_10,away_win_rate_10,away_draw_rate_10,away_loss_rate_10,away_avg_goals_for_10,away_avg_goals_against_10,away_avg_goal_difference_10,away_avg_points_10,away_clean_sheet_rate_10,away_scoring_rate_10,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_home_avg_goals,h2h_away_avg_goals,is_world_cup,is_world_cup_qualifier,is_friendly,is_nations_league,is_confederation_tournament
1894-04-07,Scotland,England,British Home Championship,Glasgow,Scotland,0,1647.57666,1632.533978,15.042682,7,26,-19,2,2,1,DRAW,5.0,0.8,0.0,0.2,4.6,1.8,2.8,2.4,0.2,1.0,10.0,0.7,0.0,0.3,3.6,1.9,1.7,2.1,0.1,1.0,5.0,0.8,0.2,0.0,4.8,1.2,3.6,2.6,0.2,1.0,10.0,0.9,0.1,0.0,4.0,0.9,3.1,2.8,0.3,1.0,5.0,0.2,0.2,0.6,1.6,2.8,0,0,0,0,0
1895-04-06,England,Scotland,British Home Championship,Liverpool,England,0,1629.844481,1642.334288,-12.489807,19,7,12,3,0,2,HOME_WIN,5.0,0.4,0.6,0.0,3.8,1.2,2.6,1.8,0.2,1.0,10.0,0.7,0.3,0.0,4.2,1.0,3.2,2.4,0.3,1.0,5.0,0.6,0.4,0.0,2.8,1.6,1.2,2.2,0.0,1.0,10.0,0.6,0.2,0.2,3.7,1.9,1.8,2.0,0.1,1.0,5.0,0.6,0.4,0.0,2.8,1.4,0,0,0,0,0
1896-04-04,Scotland,England,British Home Championship,Glasgow,Scotland,0,1631.159052,1647.867243,-16.708191,7,19,-12,2,1,2,HOME_WIN,5.0,0.4,0.4,0.2,2.4,1.8,0.6,1.6,0.2,0.8,10.0,0.5,0.3,0.2,2.9,2.0,0.9,1.8,0.1,0.9,5.0,0.8,0.2,0.0,4.8,0.4,4.4,2.6,0.6,1.0,10.0,0.7,0.3,0.0,4.4,0.9,3.5,2.4,0.4,1.0,5.0,0.0,0.2,0.8,1.2,3.2,0,0,0,0,0
1897-04-03,England,Scotland,British Home Championship,London,England,0,1644.170481,1636.8048,7.365681,5,7,-2,1,2,0,AWAY_WIN,5.0,0.8,0.0,0.2,4.4,0.6,3.8,2.4,0.6,1.0,10.0,0.7,0.2,0.1,4.2,0.7,3.5,2.3,0.5,1.0,5.0,0.6,0.4,0.0,3.2,1.4,1.8,2.2,0.2,1.0,10.0,0.5,0.4,0.1,2.5,1.6,0.9,1.9,0.1,0.9,5.0,0.6,0.2,0.2,3.0,1.4,0,0,0,0,0
1898-04-02,Scotland,England,British Home Championship,Glasgow,Scotland,0,1655.786835,1641.5808,14.206035,7,5,2,1,3,0,AWAY_WIN,5.0,0.8,0.2,0.0,3.4,1.2,2.2,2.6,0.2,1.0,10.0,0.7,0.2,0.1,2.9,1.4,1.5,2.3,0.2,0.9,5.0,0.8,0.0,0.2,3.4,0.8,2.6,2.4,0.6,1.0,10.0,0.7,0.1,0.2,3.3,0.8,2.5,2.2,0.5,1.0,5.0,0.4,0.2,0.4,1.6,2.4,0,0,0,0,0
1899-04-08,England,Scotland,British Home Championship,Birmingham,England,0,1658.085378,1649.859492,8.225886,19,14,5,2,1,2,HOME_WIN,5.0,1.0,0.0,0.0,5.2,1.0,4.2,3.0,0.4,1.0,10.0,0.8,0.0,0.2,4.7,1.0,3.7,2.4,0.4,1.0,5.0,0.8,0.0,0.2,4.8,1.2,3.6,2.4,0.4,1.0,10.0,0.7,0.2,0.1,3.8,1.4,2.4,2.3,0.2,1.0,5.0,0.4,0.2,0.4,2.0,1.4,0,0,0,0,0
1900-04-07,Scotland,England,British Home Championship,Glasgow,Scotland,0,1648.687443,1663.532345,-14.844902,35,12,23,4,1,2,HOME_WIN,5.0,0.8,0.0,0.2,4.8,1.0,3.8,2.4,0.4,1.0,10.0,0.8,0.0,0.2,4.0,1.2,2.8,2.4,0.3,1.0,5.0,0.8,0.2,0.0,4.4,0.8,3.6,2.6,0.4,1.0,10.0,0.8,0.1,0.1,3.6,0.9,2.7,2.5,0.4,1.0,5.0,0.4,0.0,0.6,1.2,2.0,0,0,0,0,0
1901-03-30,England,Scotland,British Home Championship,London,England,0,1659.2636,1653.07343,6.19017,12,28,-16,2,2,1,DRAW,5.0,0.6,0.2,0.2,2.6,1.0,1.6,2.0,0.6,1.0,10.0,0.8,0.1,0.1,3.8,0.9,2.9,2.5,0.5,1.0,5.0,0.8,0.2,0.0,4.8,0.8,4.0,2.6,0.4,1.0,10.0,0.7,0.1,0.2,4.4,1.0,3.4,2.2,0.4,1.0,5.0,0.4,0.0,0.6,1.6,2.0,0,0,0,0,0
1902-05-03,England,Scotland,British Home Championship,Birmingham,England,0,1655.241669,1661.48603,-6.244361,42,49,-7,2,2,1,DRAW,5.0,0.6,0.4,0.0,2.4,0.4,2.0,2.2,0.8,0.8,10.0,0.6,0.3,0.1,2.2,0.8,1.4,2.1,0.6,0.9,5.0,0.6,0.4,0.0,4.8,1.0,3.8,2.2,0.2,1.0,10.0,0.7,0.2,0.1,4.6,1.1,3.5,2.3,0.2,1.0,5.0,0.4,0.2,0.4,1.8,2.0,0,0,0,0,0
1903-04-04,England,Scotland,British Home Championship,Sheffield,England,0,1656.995019,1649.565323,7.429696,33,14,19,1,2,0,AWAY_WIN,5.0,0.6,0.4,0.0,1.8,0.6,1.2,2.2,0.6,0.8,10.0,0.5,0.4,0.1,2.2,1.0,1.2,1.9,0.5,0.9,5.0,0.6,0.2,0.2,2.6,1.2,1.4,2.0,0.2,0.8,10.0,0.6,0.3,0.1,3.4,1.0,2.4,2.1,0.3,0.9,5.0,0.4,0.4,0.2,2.0,2.0,0,0,0,0,0
