match_id,utc_date,local_date,status,stage,matchday,group,home_team_id,home_team,away_team_id,away_team,home_score,away_score,winner
537372,2026-06-21T22:00:00Z,2026-06-22 06:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_H,758,Uruguay,1930,Cape Verde Islands,,,
537366,2026-06-22T01:00:00Z,2026-06-22 09:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_G,783,New Zealand,825,Egypt,,,
537399,2026-06-22T17:00:00Z,2026-06-23 01:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_J,762,Argentina,816,Austria,,,
537393,2026-06-22T21:00:00Z,2026-06-23 05:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_I,773,France,8062,Iraq,,,
537394,2026-06-23T00:00:00Z,2026-06-23 08:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_I,8872,Norway,804,Senegal,,,
537400,2026-06-23T03:00:00Z,2026-06-23 11:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_J,8049,Jordan,778,Algeria,,,
537405,2026-06-23T17:00:00Z,2026-06-24 01:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_K,765,Portugal,8070,Uzbekistan,,,
537411,2026-06-23T20:00:00Z,2026-06-24 04:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_L,770,England,763,Ghana,,,
537412,2026-06-23T23:00:00Z,2026-06-24 07:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_L,1836,Panama,799,Croatia,,,
537406,2026-06-24T02:00:00Z,2026-06-24 10:00:00+0800,TIMED,GROUP_STAGE,2,GROUP_K,818,Colombia,1934,Congo DR,,,
537337,2026-06-24T19:00:00Z,2026-06-25 03:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_B,788,Switzerland,828,Canada,,,
537338,2026-06-24T19:00:00Z,2026-06-25 03:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_B,1060,Bosnia-Herzegovina,8030,Qatar,,,
537344,2026-06-24T22:00:00Z,2026-06-25 06:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_C,815,Morocco,836,Haiti,,,
